iid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100267258,1.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,1.0,2.0
100271696,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0,2.0
100271856,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0
100273220,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
100273308,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0
100273782,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
100275450,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
100279064,1.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0
100279256,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,1.0,2.0,3.0,4.0,1.0,2.0
100285742,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0
100287316,1.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0
100291864,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,1.0
100295668,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,2.0,3.0
100297620,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0
100298374,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0
100299896,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0
100306616,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0,2.0,3.0
100311458,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,2.0
100313852,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,1.0
100317510,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0
100318366,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,1.0
100320076,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0,2.0,3.0
100323960,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0
100339264,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0
100351571,1.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0
100351951,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0
100355391,1.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,1.0,1.0
100359359,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0,2.0,3.0
100361399,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,2.0,3.0
100366483,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0,2.0
100369649,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,1.0,2.0,3.0
100371775,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
100405463,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0
100405468,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
100405473,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
100405502,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,1.0
100405541,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,1.0
100405573,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0
100405581,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0
100405608,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,1.0
100405644,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
100405674,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0
100405719,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
100405734,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,1.0
100405811,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,1.0,2.0,1.0
100405845,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,1.0,2.0,3.0,4.0
100405955,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0
100407873,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,1.0,2.0,3.0,4.0,5.0,1.0
100408493,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0
100408571,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,1.0
100409038,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,1.0
100410754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0
100412077,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0
100412374,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,2.0,3.0,4.0,5.0
100412557,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0
100413273,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
100413312,1.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,1.0
100413459,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,2.0,3.0
100413776,1.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0
100414600,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,1.0,2.0,3.0,1.0,2.0
100415417,1.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0
100416103,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0
