,iid
1761,100288678
1762,100288796
1763,100289132
1764,100289190
1766,100289394
1767,100289656
1769,100289892
1770,100290122
1771,100290308
1773,100290740
1775,100290822
1776,100290910
1777,100290982
1778,100291206
1779,100291370
1780,100291402
1781,100291482
1782,100291692
1783,100291756
1784,100291808
1785,100291864
1786,100291904
1787,100291936
1788,100292024
1789,100292150
1790,100292364
1791,100292444
1792,100292492
1794,100292566
1795,100292746
1796,100292792
1797,100292860
1799,100292914
1801,100293066
1802,100293342
1803,100293462
1804,100293544
1806,100293586
1807,100293706
1808,100293922
1809,100294386
1810,100294768
1811,100294900
1812,100295128
1813,100295272
1814,100295402
1815,100295668
1816,100295760
1817,100295806
1818,100295852
1819,100296260
1820,100296444
1821,100296722
1822,100296794
1823,100296990
1824,100297068
1825,100297084
1826,100297100
1827,100297218
1828,100297460
1829,100297476
1830,100297604
1831,100297620
1832,100297660
1833,100297848
1834,100297988
1835,100298004
1836,100298050
1837,100298212
1838,100298280
1839,100298374
1840,100298550
1841,100298632
1842,100298764
1843,100298780
1844,100299004
1845,100299084
1846,100299190
1847,100299222
1848,100299348
1849,100299374
1851,100299706
1852,100299722
1853,100299896
1854,100299942
1855,100300172
1856,100300188
1857,100300638
1858,100300682
1859,100300918
1860,100301390
1861,100301438
1862,100301486
1863,100301566
1864,100301868
1865,100301900
1866,100301974
1867,100302120
1868,100302298
1869,100302334
1870,100302492
1871,100302562
1872,100302744
1873,100303008
1874,100303064
1876,100303170
1877,100303286
1878,100303358
1879,100303512
1880,100303572
1881,100303668
1882,100303888
1883,100303920
1884,100303936
1885,100304014
1886,100304450
1887,100304630
1888,100304662
1889,100304724
1890,100304874
1892,100305216
1893,100305252
1894,100305412
1895,100305474
1897,100305764
1899,100306032
1900,100306094
1901,100306378
1902,100306476
1903,100306616
1904,100306758
1905,100306822
1906,100307252
1907,100307316
1908,100307406
1909,100307438
1910,100307486
1912,100307574
1913,100307610
1914,100307724
1915,100307982
1916,100308064
1917,100308126
1918,100308158
1919,100308174
1920,100308338
1921,100308478
1922,100308560
1923,100309016
1924,100309090
1925,100309116
1926,100309272
1927,100309498
1928,100309540
1929,100309650
1930,100310146
1931,100310338
1932,100310514
1933,100311004
1934,100311102
1935,100311178
1936,100311270
1937,100311342
1938,100311458
1939,100311576
1940,100311592
1941,100311608
1942,100311624
1943,100311654
1944,100311968
1945,100312046
1946,100312182
1947,100312314
1948,100312398
1949,100312600
1950,100312854
1951,100313132
1952,100313170
1953,100313734
1954,100313852
1956,100314736
1957,100314888
1958,100315088
1959,100315552
1960,100315748
1961,100315956
1962,100316208
1963,100316314
1964,100316522
1967,100316776
1968,100316966
1969,100317156
1970,100317510
1971,100317526
1972,100317632
1973,100317664
1975,100318366
1976,100318412
1978,100318470
1979,100318714
1980,100318724
1981,100318788
1983,100319050
1984,100319166
1985,100319212
1987,100319244
1988,100319302
1989,100319476
1991,100319548
1992,100319638
1994,100320076
1995,100320122
1996,100320370
1997,100320444
1999,100320816
2000,100320868
2001,100320904
2002,100320936
2003,100323136
2004,100323160
2005,100323570
2006,100323586
2007,100323860
2008,100323960
2009,100324196
2010,100324404
2011,100324740
2013,100324944
2015,100325978
2016,100326260
2017,100326982
2018,100327040
2019,100327610
2021,100329154
2022,100329286
2023,100329572
2024,100330218
